n,num_bits,num_samples,learning_rate,hidden_dim,layers_num,num_samples_test,batch_size,epochs,test_loss
10,16,500,0.005,64,2,1000,64,100,0.19991636276245117
10,16,500,0.005,64,3,1000,32,100,0.2062605321407318
10,16,500,0.005,64,3,1000,64,100,0.2055620402097702
10,16,500,0.005,64,4,1000,32,100,0.2135714888572693
10,16,500,0.005,64,4,1000,64,100,0.20909613370895386
10,32,500,0.001,8,2,1000,32,100,0.12302350997924805
10,32,500,0.001,8,2,1000,64,100,0.12201860547065735
10,32,500,0.001,8,3,1000,32,100,0.12206229567527771
10,32,500,0.001,8,3,1000,64,100,0.12172498553991318
10,32,500,0.001,8,4,1000,32,100,0.12240558117628098
10,32,500,0.001,8,4,1000,64,100,0.12165868282318115
10,32,500,0.001,16,2,1000,32,100,0.12640604376792908
10,32,500,0.001,16,2,1000,64,100,0.12530145049095154
10,32,500,0.001,16,3,1000,32,100,0.12567129731178284
10,32,500,0.001,16,3,1000,64,100,0.12388850748538971
10,32,500,0.001,16,4,1000,32,100,0.12689806520938873
10,32,500,0.001,16,4,1000,64,100,0.12494958937168121
10,32,500,0.001,32,2,1000,32,100,0.1322157084941864
10,32,500,0.001,32,2,1000,64,100,0.13061334192752838
10,32,500,0.001,32,3,1000,32,100,0.13367341458797455
10,32,500,0.001,32,3,1000,64,100,0.13197453320026398
10,32,500,0.001,32,4,1000,32,100,0.13904768228530884
10,32,500,0.001,32,4,1000,64,100,0.13422967493534088
10,32,500,0.001,64,2,1000,32,100,0.14758561551570892
10,32,500,0.001,64,2,1000,64,100,0.13980677723884583
10,32,500,0.001,64,3,1000,32,100,0.1568792164325714
10,32,500,0.001,64,3,1000,64,100,0.14470115303993225
10,32,500,0.001,64,4,1000,32,100,0.16720472276210785
10,32,500,0.001,64,4,1000,64,100,0.14870449900627136
10,32,500,0.005,8,2,1000,32,100,0.12597991526126862
10,32,500,0.005,8,2,1000,64,100,0.12526720762252808
10,32,500,0.005,8,3,1000,32,100,0.12602700293064117
10,32,500,0.005,8,3,1000,64,100,0.12536074221134186
10,32,500,0.005,8,4,1000,32,100,0.12628480792045593
10,32,500,0.005,8,4,1000,64,100,0.12738795578479767
10,32,500,0.005,16,2,1000,32,100,0.13625697791576385
